,Row ID,login name,condition1,condition2,student1,student2,student 3,class,Session Id,time first action,time last action,Time,Time Taken,Problem Name,Step Name,Attempt At Step,Outcome,Selection,Graph #,Method_Recognized_1_Copied,Method_Recognized_2_Copied,Action,Input,Next_Input,Feedback Text,CF(Method1),CF(Method2),CF(advice),CF(new1),CF(new2),CF(step1_1),CF(step1_2),CF(step1_3),CF(step1_4),CF(step1_5),CF(step1_6),CF(step1_7),CF(step1_8),CF(step2_1),CF(step2_2),CF(step2_3),CF(step2_4),CF(step2_5),CF(step2_6),CF(step2_7),CF(step2_8),Unnamed: 46,Unnamed: 47,Unnamed: 48,Input.1,Next_Input.1,Cleaned method 1,Cleaned method 2,cases,Time_seconds,Timeshifted,Duration
9122,ID19124,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:23:01,00:00:02,trampoline,deleteAll2 ButtonPressed,5.0,CORRECT,deleteAll2,2.0,st1,st1,ButtonPressed,Delete all,Count,,,"3 ""4"" ""5"" ""6"" ""7""",,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,Average(all) / Median(all) = 1.0,,,,,,,,,,,,,st1,st1,"1 3 5 7 9,3 4 5 6 7",833.0,00:23:10,9.0
9123,ID19125,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:23:10,00:00:09,trampoline,function1 UpdateComboBox,12.0,CORRECT,function1,1.0,st1 Count,st1,UpdateComboBox,Count,all,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Count,st1,"1 3 5 7 9,3 4 5 6 7",842.0,00:23:12,2.0
9124,ID19126,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:23:12,00:00:02,trampoline,pointsSelection1 UpdateComboBox,6.0,CORRECT,pointsSelection1,1.0,st1 Count all,st1,UpdateComboBox,all,Use,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Count all,st1,"1 3 5 7 9,3 4 5 6 7",844.0,00:23:13,1.0
9125,ID19127,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:23:13,00:00:01,trampoline,use1 ButtonPressed,12.0,CORRECT,use1,1.0,st1 Count all Use,st1,ButtonPressed,Use,Sum,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Count all ,st1,"1 3 5 7 9,3 4 5 6 7",845.0,00:23:26,13.0
9128,ID19130,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:23:26,00:00:09,trampoline,operator1_1 UpdateComboBox,5.0,CORRECT,operator1_1,1.0,st1 Count all Use /,st1,UpdateComboBox,/,+,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Count all /,st1,"1 3 5 7 9,3 4 5 6 7",858.0,00:23:30,4.0
9129,ID19131,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:23:30,00:00:04,trampoline,operator1_1 UpdateComboBox,6.0,CORRECT,operator1_1,1.0,st1 Count all Use / +,st1,UpdateComboBox,+,Use,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Count all +,st1,"1 3 5 7 9,3 4 5 6 7",862.0,00:23:38,8.0
9132,ID19134,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:23:38,00:00:02,trampoline,pointsSelection1 UpdateComboBox,8.0,CORRECT,pointsSelection1,1.0,st1 Count all Use / + {Sum} none,st1,UpdateComboBox,none,all,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Count all + Sum none,st1,"1 3 5 7 9,3 4 5 6 7",870.0,00:23:40,2.0
9133,ID19135,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:23:40,00:00:02,trampoline,pointsSelection1 UpdateComboBox,9.0,CORRECT,pointsSelection1,1.0,st1 Count all Use / + {Sum} none all,st1,UpdateComboBox,all,Use,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Count all + Sum all,st1,"1 3 5 7 9,3 4 5 6 7",872.0,00:23:41,1.0
9134,ID19136,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:23:41,00:00:01,trampoline,use1 ButtonPressed,14.0,CORRECT,use1,1.0,st1 Count all Use / + {Sum} none all Use,st1,ButtonPressed,Use,Count,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Count all + Sum all ,st1,"1 3 5 7 9,3 4 5 6 7",873.0,00:23:46,5.0
9135,ID19137,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:23:46,00:00:05,trampoline,function2 UpdateComboBox,9.0,CORRECT,function2,2.0,st1 Count all Use / + {Sum} none all Use,st1 Count,UpdateComboBox,Count,all,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Count all + Sum all ,st1 Count,"1 3 5 7 9,3 4 5 6 7",878.0,00:23:48,2.0
9136,ID19138,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:23:48,00:00:02,trampoline,pointsSelection2 UpdateComboBox,3.0,CORRECT,pointsSelection2,2.0,st1 Count all Use / + {Sum} none all Use,st1 Count all,UpdateComboBox,all,Use,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Count all + Sum all ,st1 Count all,"1 3 5 7 9,3 4 5 6 7",880.0,00:23:49,1.0
9137,ID19139,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:23:49,00:00:01,trampoline,use2 ButtonPressed,8.0,CORRECT,use2,2.0,st1 Count all Use / + {Sum} none all Use,st1 Count all Use,ButtonPressed,Use,all,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Count all + Sum all ,st1 Count all ,"1 3 5 7 9,3 4 5 6 7",881.0,00:24:06,17.0
9140,ID19142,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:24:06,00:00:06,trampoline,operator2_1 UpdateComboBox,3.0,CORRECT,operator2_1,2.0,st1 Count all Use / + {Sum} none all Use,st1 Count all Use -,UpdateComboBox,-,Sum,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Count all + Sum all ,st1 Count all -,"1 3 5 7 9,3 4 5 6 7",898.0,00:24:09,3.0
9141,ID19143,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:24:09,00:00:03,trampoline,function2 UpdateComboBox,11.0,CORRECT,function2,2.0,st1 Count all Use / + {Sum} none all Use,st1 Count all Use - Sum,UpdateComboBox,Sum,Use,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Count all + Sum all ,st1 Count all - Sum,"1 3 5 7 9,3 4 5 6 7",901.0,00:24:17,8.0
9144,ID19146,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:24:17,00:00:01,trampoline,function2 UpdateComboBox,12.0,CORRECT,pointsSelection2,2.0,st1 Count all Use / + {Sum} none all Use,st1 Count all Use - Sum {Sum},UpdateComboBox,all,Use,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Count all + Sum all ,st1 Count all - Sum Sum,"1 3 5 7 9,3 4 5 6 7",909.0,00:24:27,10.0
9146,ID19148,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:24:27,00:00:08,trampoline,deleteAll2 ButtonPressed,6.0,CORRECT,deleteAll2,2.0,st1 Count all Use / + {Sum} none all Use,st1,ButtonPressed,Delete all,Delete all,,,"3 ""4"" ""5"" ""6"" ""7""",,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,Count(all) - Sum(all) = 5,,,,,,,,,,,,,st1 Count all + Sum all ,st1,"1 3 5 7 9,3 4 5 6 7",919.0,00:24:29,2.0
9147,ID19149,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:24:29,00:00:02,trampoline,deleteAll1 ButtonPressed,6.0,CORRECT,deleteAll1,1.0,st1,st1,ButtonPressed,Delete all,Count,,"1 ""3"" ""5"" ""7"" ""9""",,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",Count(all) + Sum(all) = 30.0,,,,,,,,,,,,,,,,,,,,,st1,st1,"1 3 5 7 9,3 4 5 6 7",921.0,00:24:43,14.0
9148,ID19150,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:24:43,00:00:14,trampoline,function1 UpdateComboBox,14.0,CORRECT,function1,1.0,st1 Count,st1,UpdateComboBox,Count,all,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Count,st1,"1 3 5 7 9,3 4 5 6 7",935.0,00:24:45,2.0
9149,ID19151,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:24:45,00:00:02,trampoline,pointsSelection1 UpdateComboBox,10.0,CORRECT,pointsSelection1,1.0,st1 Count all,st1,UpdateComboBox,all,Use,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Count all,st1,"1 3 5 7 9,3 4 5 6 7",937.0,00:24:47,2.0
9150,ID19152,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:24:47,00:00:02,trampoline,use1 ButtonPressed,15.0,CORRECT,use1,1.0,st1 Count all Use,st1,ButtonPressed,Use,Add step,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Count all ,st1,"1 3 5 7 9,3 4 5 6 7",939.0,00:25:10,23.0
9153,ID19155,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:25:10,00:00:10,trampoline,operator1_1 UpdateComboBox,7.0,CORRECT,operator1_1,1.0,st1 Count all Use +,st1,UpdateComboBox,+,all,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Count all +,st1,"1 3 5 7 9,3 4 5 6 7",962.0,00:26:08,58.0
9159,ID19161,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:26:08,00:00:30,trampoline,deleteAll1 ButtonPressed,7.0,CORRECT,deleteAll1,1.0,st1,st1,ButtonPressed,Delete all,Average,,"1 ""3"" ""5"" ""7"" ""9""",,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",Count(all) = 5,,,,,,,,,,,,,,,,,,,,,st1,st1,"1 3 5 7 9,3 4 5 6 7",1020.0,00:26:36,28.0
9160,ID19162,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:26:36,00:00:28,trampoline,function1 UpdateComboBox,16.0,CORRECT,function1,1.0,st1 Average,st1,UpdateComboBox,Average,all,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Average,st1,"1 3 5 7 9,3 4 5 6 7",1048.0,00:26:39,3.0
9161,ID19163,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:26:39,00:00:03,trampoline,pointsSelection1 UpdateComboBox,11.0,CORRECT,pointsSelection1,1.0,st1 Average all,st1,UpdateComboBox,all,Use,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Average all,st1,"1 3 5 7 9,3 4 5 6 7",1051.0,00:26:40,1.0
9162,ID19164,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:26:40,00:00:01,trampoline,use1 ButtonPressed,17.0,CORRECT,use1,1.0,st1 Average all Use,st1,ButtonPressed,Use,Sum,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Average all ,st1,"1 3 5 7 9,3 4 5 6 7",1052.0,00:27:00,20.0
9165,ID19167,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:27:00,00:00:10,trampoline,operator1_1 UpdateComboBox,8.0,CORRECT,operator1_1,1.0,st1 Average all Use -,st1,UpdateComboBox,-,-,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Average all -,st1,"1 3 5 7 9,3 4 5 6 7",1072.0,00:27:03,3.0
9166,ID19168,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:27:03,00:00:03,trampoline,operator1_1 UpdateComboBox,9.0,CORRECT,operator1_1,1.0,st1 Average all Use - -,st1,UpdateComboBox,-,Use,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Average all -,st1,"1 3 5 7 9,3 4 5 6 7",1075.0,00:28:58,115.0
9168,ID19170,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:28:58,00:01:52,trampoline,deleteAll1 ButtonPressed,8.0,CORRECT,deleteAll1,1.0,st1,st1,ButtonPressed,Delete all,Delete all,,"1 ""3"" ""5"" ""7"" ""9""",,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",Average(all) = 5.0,,,,,,,,,,,,,,,,,,,,,st1,st1,"1 3 5 7 9,3 4 5 6 7",1190.0,00:29:01,3.0
9169,ID19171,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:29:01,00:00:03,trampoline,deleteAll2 ButtonPressed,7.0,CORRECT,deleteAll2,2.0,st1,st1,ButtonPressed,Delete all,Count,,,"3 ""4"" ""5"" ""6"" ""7""",,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,nil(all) = nil,,,,,,,,,,,,,st1,st1,"1 3 5 7 9,3 4 5 6 7",1193.0,00:29:09,8.0
9170,ID19172,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:29:09,00:00:08,trampoline,function1 UpdateComboBox,18.0,CORRECT,function1,1.0,st1 Count,st1,UpdateComboBox,Count,Dormin Button,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Count,st1,"1 3 5 7 9,3 4 5 6 7",1201.0,00:29:12,3.0
9171,ID19173,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:29:12,00:00:03,trampoline,button1_2 ButtonPressed,1.0,CORRECT,button1_2,1.0,st1 Count 2,st1,ButtonPressed,Dormin Button,Dormin Button,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Count 2,st1,"1 3 5 7 9,3 4 5 6 7",1204.0,00:29:14,2.0
9172,ID19174,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:29:14,00:00:02,trampoline,button1_4 ButtonPressed,1.0,CORRECT,button1_4,1.0,st1 Count 2 4,st1,ButtonPressed,Dormin Button,Dormin Button,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Count 2 4,st1,"1 3 5 7 9,3 4 5 6 7",1206.0,00:29:16,2.0
9173,ID19175,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:29:16,00:00:02,trampoline,button1_6 ButtonPressed,1.0,CORRECT,button1_6,1.0,st1 Count 2 4 6,st1,ButtonPressed,Dormin Button,Count,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Count 2 4 6,st1,"1 3 5 7 9,3 4 5 6 7",1208.0,00:29:20,4.0
9174,ID19176,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:29:20,00:00:04,trampoline,function2 UpdateComboBox,13.0,CORRECT,function2,2.0,st1 Count 2 4 6,st1 Count,UpdateComboBox,Count,none,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Count 2 4 6,st1 Count,"1 3 5 7 9,3 4 5 6 7",1212.0,00:29:24,4.0
9175,ID19177,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:29:24,00:00:04,trampoline,pointsSelection2 UpdateComboBox,5.0,CORRECT,pointsSelection2,2.0,st1 Count 2 4 6,st1 Count none,UpdateComboBox,none,Dormin Button,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Count 2 4 6,st1 Count none,"1 3 5 7 9,3 4 5 6 7",1216.0,00:29:55,31.0
9176,ID19178,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:29:55,00:00:31,trampoline,button1_8 ButtonPressed,1.0,CORRECT,button1_8,1.0,st1 Count 2 4 6 8,st1 Count none,ButtonPressed,Dormin Button,Use,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Count 2 4 6 8,st1 Count none,"1 3 5 7 9,3 4 5 6 7",1247.0,00:30:00,5.0
9177,ID19179,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:30:00,00:00:05,trampoline,use1 ButtonPressed,19.0,CORRECT,use1,1.0,st1 Count 2 4 6 8 Use,st1 Count none,ButtonPressed,Use,Use,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Count 2 4 6 8 ,st1 Count none,"1 3 5 7 9,3 4 5 6 7",1252.0,00:30:03,3.0
9178,ID19180,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:30:03,00:00:03,trampoline,use2 ButtonPressed,11.0,CORRECT,use2,2.0,st1 Count 2 4 6 8 Use,st1 Count none Use,ButtonPressed,Use,Submit Results,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Count 2 4 6 8 ,st1 Count none ,"1 3 5 7 9,3 4 5 6 7",1255.0,00:30:06,3.0
9179,ID19181,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:30:06,00:00:03,trampoline,submit ButtonPressed,2.0,CORRECT,submit,,st1 Count 2 4 6 8 Use,st1 Count none Use,ButtonPressed,Submit Results,Submit Results,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Count 2 4 6 8 ,st1 Count none ,"1 3 5 7 9,3 4 5 6 7",1258.0,00:30:17,11.0
9182,ID19184,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:30:17,00:00:09,trampoline,evaluation UpdateComboBox,1.0,CORRECT,evaluation,,st1 Count 2 4 6 8 Use,st1 Count none Use,UpdateComboBox,Trampoline B,Yes,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Count 2 4 6 8 ,st1 Count none ,"1 3 5 7 9,3 4 5 6 7",1269.0,00:30:20,3.0
9183,ID19185,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:30:20,00:00:03,trampoline,checkIntuition UpdateComboBox,1.0,CORRECT,checkIntuition,,st1 Count 2 4 6 8 Use,st1 Count none Use,UpdateComboBox,Yes,Done,Good. Click Done to continue.,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Count 2 4 6 8 ,st1 Count none ,"1 3 5 7 9,3 4 5 6 7",1272.0,00:30:23,3.0
9184,ID19186,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:30:23,00:00:03,trampoline,fakeDone ButtonPressed,1.0,CORRECT,fakeDone,,st1,st1,ButtonPressed,Done,Trampoline B,"Now try working on this new example starting from part 1, prediction.","1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,"1 ""3"" ""5"" ""7"" ""9""","1 ""4"" ""5"" ""6"" ""9""","Count(2,4,6,8) = 4",,,,,,,,Count(all) = 0,,,,,,,,,,,,,st1,st1,"1 3 5 7 9,1 4 5 6 9",1275.0,00:30:33,10.0
9185,ID19187,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:30:33,00:00:10,trampoline,intuition UpdateComboBox,2.0,CORRECT,intuition,,st1,st1,UpdateComboBox,Trampoline B,Count,Good. Now please work on part 2.,,,,"1 ""3"" ""5"" ""7"" ""9""","1 ""4"" ""5"" ""6"" ""9""",,,,,,,,,,,,,,,,,,,,,,st1,st1,"1 3 5 7 9,1 4 5 6 9",1285.0,00:30:37,4.0
9186,ID19188,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:30:37,00:00:04,trampoline,function1 UpdateComboBox,19.0,CORRECT,function1,1.0,st1 Count,st1,UpdateComboBox,Count,Dormin Button,,,,,"1 ""3"" ""5"" ""7"" ""9""","1 ""4"" ""5"" ""6"" ""9""",,,,,,,,,,,,,,,,,,,,,,st1 Count,st1,"1 3 5 7 9,1 4 5 6 9",1289.0,00:30:42,5.0
9187,ID19189,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:30:42,00:00:05,trampoline,button1_2 ButtonPressed,2.0,CORRECT,button1_2,1.0,st1 Count 2,st1,ButtonPressed,Dormin Button,Dormin Button,,,,,"1 ""3"" ""5"" ""7"" ""9""","1 ""4"" ""5"" ""6"" ""9""",,,,,,,,,,,,,,,,,,,,,,st1 Count 2,st1,"1 3 5 7 9,1 4 5 6 9",1294.0,00:30:45,3.0
9188,ID19190,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:30:45,00:00:03,trampoline,button1_6 ButtonPressed,2.0,CORRECT,button1_6,1.0,st1 Count 2 6,st1,ButtonPressed,Dormin Button,Dormin Button,,,,,"1 ""3"" ""5"" ""7"" ""9""","1 ""4"" ""5"" ""6"" ""9""",,,,,,,,,,,,,,,,,,,,,,st1 Count 2 6,st1,"1 3 5 7 9,1 4 5 6 9",1297.0,00:30:50,5.0
9189,ID19191,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:30:50,00:00:05,trampoline,button1_4 ButtonPressed,2.0,CORRECT,button1_4,1.0,st1 Count 2 6 4,st1,ButtonPressed,Dormin Button,Dormin Button,,,,,"1 ""3"" ""5"" ""7"" ""9""","1 ""4"" ""5"" ""6"" ""9""",,,,,,,,,,,,,,,,,,,,,,st1 Count 2 6 4,st1,"1 3 5 7 9,1 4 5 6 9",1302.0,00:30:52,2.0
9190,ID19192,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:30:52,00:00:02,trampoline,button1_8 ButtonPressed,2.0,CORRECT,button1_8,1.0,st1 Count 2 6 4 8,st1,ButtonPressed,Dormin Button,Use,,,,,"1 ""3"" ""5"" ""7"" ""9""","1 ""4"" ""5"" ""6"" ""9""",,,,,,,,,,,,,,,,,,,,,,st1 Count 2 6 4 8,st1,"1 3 5 7 9,1 4 5 6 9",1304.0,00:30:54,2.0
9191,ID19193,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:30:54,00:00:02,trampoline,use1 ButtonPressed,20.0,CORRECT,use1,1.0,st1 Count 2 6 4 8 Use,st1,ButtonPressed,Use,Count,,,,,"1 ""3"" ""5"" ""7"" ""9""","1 ""4"" ""5"" ""6"" ""9""",,,,,,,,,,,,,,,,,,,,,,st1 Count 2 6 4 8 ,st1,"1 3 5 7 9,1 4 5 6 9",1306.0,00:30:57,3.0
9192,ID19194,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:30:57,00:00:03,trampoline,function2 UpdateComboBox,14.0,CORRECT,function2,2.0,st1 Count 2 6 4 8 Use,st1 Count,UpdateComboBox,Count,Count,,,,,"1 ""3"" ""5"" ""7"" ""9""","1 ""4"" ""5"" ""6"" ""9""",,,,,,,,,,,,,,,,,,,,,,st1 Count 2 6 4 8 ,st1 Count,"1 3 5 7 9,1 4 5 6 9",1309.0,00:31:03,6.0
9193,ID19195,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:31:03,00:00:06,trampoline,function2 UpdateComboBox,15.0,CORRECT,function2,2.0,st1 Count 2 6 4 8 Use,st1 Count Count,UpdateComboBox,Count,Dormin Button,,,,,"1 ""3"" ""5"" ""7"" ""9""","1 ""4"" ""5"" ""6"" ""9""",,,,,,,,,,,,,,,,,,,,,,st1 Count 2 6 4 8 ,st1 Count Count,"1 3 5 7 9,1 4 5 6 9",1315.0,00:31:07,4.0
